string_id,string_brand
0,Alien
1,Alpha
2,Ashaway
3,Babolat
4,Boris Becker
5,Diadem
6,Double AR
7,Dunlop
8,Forten
9,Gamma
10,Genesis
11,Gosen
12,Head
13,IsoSpeed
14,Kirschbaum
15,Klip
16,LaserFibre
17,Leopard
18,L-Tec
19,Luxilon
20,Mantis
21,MSV
22,One Strings
23,Pacific
24,Poly Star
25,Polyfibre
26,Prince
27,RS
28,Signum Pro
29,Solinco
30,Super String
31,SuperString
32,Tecnifibre
33,Toalson
34,Topspin
35,Tourna
36,Volkl
37,Weiss Cannon
38,Wilson
39,Yonex
40,Y-Tex
41,None
